Loading demo data ...
Data: loaded 89160 cached samples from /home/exouser/.cache/autoresearch_trimnn/data_k2.pkl
Demo — Train: 71328  Val: 17832
Loading TrimNN intestinal data (B004_ascending) ...
  Graph: 21,232 nodes, 63,644 edges
  Patterns: 2,925  (vf2_zero=1539, vf2_nonzero=1386, TrimNN mean=815.5, VF2 mean=14.6)
  Loaded in 0.8s
Parameters: 302,209

step 00298 (35.2%) | loss: 0.2061 | dt: 312ms | remaining: 194s   
step 00299 (35.3%) | loss: 0.2065 | dt: 384ms | remaining: 194s   
step 00300 (35.4%) | loss: 0.2064 | dt: 392ms | remaining: 194s   
step 00301 (35.6%) | loss: 0.2032 | dt: 404ms | remaining: 193s   
step 00302 (35.7%) | loss: 0.2045 | dt: 337ms | remaining: 193s   
step 00303 (35.8%) | loss: 0.2039 | dt: 438ms | remaining: 193s   
step 00304 (35.9%) | loss: 0.2009 | dt: 320ms | remaining: 192s   
step 00305 (36.1%) | loss: 0.2000 | dt: 414ms | remaining: 192s   
step 00306 (36.2%) | loss: 0.1970 | dt: 358ms | remaining: 191s   
step 00307 (36.3%) | loss: 0.1970 | dt: 451ms | remaining: 191s   
step 00308 (36.5%) | loss: 0.1980 | dt: 478ms | remaining: 190s   
step 00309 (36.6%) | loss: 0.1966 | dt: 298ms | remaining: 190s   
step 00310 (36.7%) | loss: 0.1966 | dt: 440ms | remaining: 190s   
step 00311 (36.9%) | loss: 0.2006 | dt: 354ms | remaining: 189s   
step 00312 (37.0%) | loss: 0.2013 | dt: 340ms | remaining: 189s   
step 00313 (37.1%) | loss: 0.2019 | dt: 340ms | remaining: 189s   
step 00314 (37.2%) | loss: 0.2039 | dt: 329ms | remaining: 188s   
step 00315 (37.3%) | loss: 0.2033 | dt: 342ms | remaining: 188s   
step 00316 (37.4%) | loss: 0.2007 | dt: 314ms | remaining: 188s   
step 00317 (37.5%) | loss: 0.1985 | dt: 306ms | remaining: 187s   
step 00318 (37.6%) | loss: 0.1968 | dt: 211ms | remaining: 187s   
step 00319 (37.7%) | loss: 0.1948 | dt: 368ms | remaining: 187s   
step 00320 (37.8%) | loss: 0.1967 | dt: 359ms | remaining: 186s   
step 00321 (37.9%) | loss: 0.1948 | dt: 317ms | remaining: 186s   
step 00322 (38.1%) | loss: 0.1949 | dt: 404ms | remaining: 186s   
step 00323 (38.2%) | loss: 0.1950 | dt: 367ms | remaining: 185s   
step 00324 (38.4%) | loss: 0.1941 | dt: 504ms | remaining: 185s   
step 00325 (38.5%) | loss: 0.1919 | dt: 343ms | remaining: 185s   
step 00326 (38.6%) | loss: 0.1920 | dt: 378ms | remaining: 184s   
step 00327 (38.7%) | loss: 0.1900 | dt: 331ms | remaining: 184s   
step 00328 (38.8%) | loss: 0.1936 | dt: 338ms | remaining: 184s   
step 00329 (38.9%) | loss: 0.1934 | dt: 325ms | remaining: 183s   
step 00330 (39.0%) | loss: 0.1930 | dt: 267ms | remaining: 183s   
step 00331 (39.2%) | loss: 0.1931 | dt: 490ms | remaining: 182s   
step 00332 (39.3%) | loss: 0.1927 | dt: 362ms | remaining: 182s   
step 00333 (39.4%) | loss: 0.1924 | dt: 405ms | remaining: 182s   
step 00334 (39.6%) | loss: 0.1892 | dt: 442ms | remaining: 181s   
step 00335 (39.7%) | loss: 0.1872 | dt: 356ms | remaining: 181s   
step 00336 (39.8%) | loss: 0.1893 | dt: 395ms | remaining: 180s   
step 00337 (40.0%) | loss: 0.1852 | dt: 465ms | remaining: 180s   
