Loading demo data ...
Data: loaded 89160 cached samples from /home/exouser/.cache/autoresearch_trimnn/data_k2.pkl
Demo — Train: 71328  Val: 17832
Loading intestinal data ...
  B004_ascending_ct25: 21,232 nodes, 2925 patterns
  B005_ascending_ct24: 17,312 nodes, 2600 patterns
  B005_descendingSigmoid_ct20: 14,230 nodes, 1540 patterns
  B005_duodenum_ct25: 23,558 nodes, 2925 patterns
  B005_ileum_ct25: 17,670 nodes, 2925 patterns
  B006_descendingSigmoid_ct23: 24,585 nodes, 2300 patterns
  B006_descending_ct24: 20,379 nodes, 2600 patterns
  B008_ascending_ct22: 5,829 nodes, 2024 patterns
  B008_transverse_ct23: 22,279 nodes, 2300 patterns
  B010_ascending_ct25: 22,961 nodes, 2925 patterns
  B010_descendingSigmoid_ct24: 24,158 nodes, 2600 patterns
  B010_descending_ct24: 19,612 nodes, 2600 patterns
  B010_transverse_ct24: 14,924 nodes, 2600 patterns
  B011_ascending_ct24: 20,382 nodes, 2600 patterns
  B011_descendingSigmoid_ct24: 21,201 nodes, 2600 patterns
  B011_descending_ct24: 20,504 nodes, 2600 patterns
Intestinal: 16 samples (310,816 nodes total) in 8.5s
Parameters: 302,209

step 00185 (7.8%) | loss: 2.2626 | dt: 127ms | remaining: 277s   
step 00186 (7.8%) | loss: 2.2191 | dt: 129ms | remaining: 277s   
step 00187 (7.8%) | loss: 2.1863 | dt: 128ms | remaining: 276s   
step 00188 (7.9%) | loss: 2.1449 | dt: 131ms | remaining: 276s   
step 00189 (7.9%) | loss: 2.0637 | dt: 129ms | remaining: 276s   
step 00190 (8.0%) | loss: 2.1039 | dt: 126ms | remaining: 276s   
step 00191 (8.0%) | loss: 2.2049 | dt: 129ms | remaining: 276s   
step 00192 (8.1%) | loss: 2.1288 | dt: 128ms | remaining: 276s   
step 00193 (8.1%) | loss: 2.0628 | dt: 127ms | remaining: 276s   
step 00194 (8.1%) | loss: 2.0160 | dt: 125ms | remaining: 276s   
step 00195 (8.2%) | loss: 1.9732 | dt: 130ms | remaining: 275s   
step 00196 (8.2%) | loss: 1.9807 | dt: 125ms | remaining: 275s   
step 00197 (8.3%) | loss: 1.9394 | dt: 125ms | remaining: 275s   
step 00198 (8.3%) | loss: 2.2537 | dt: 136ms | remaining: 275s   
step 00199 (8.4%) | loss: 2.2452 | dt: 126ms | remaining: 275s   
step 00200 (8.4%) | loss: 2.2456 | dt: 127ms | remaining: 275s   
step 00201 (8.4%) | loss: 2.5984 | dt: 125ms | remaining: 275s   
step 00202 (8.5%) | loss: 2.6116 | dt: 125ms | remaining: 275s   
step 00203 (8.5%) | loss: 2.5521 | dt: 124ms | remaining: 274s   
step 00204 (8.6%) | loss: 2.4980 | dt: 124ms | remaining: 274s   
step 00205 (8.6%) | loss: 2.5746 | dt: 125ms | remaining: 274s   
step 00206 (8.6%) | loss: 2.5155 | dt: 127ms | remaining: 274s   
step 00207 (8.7%) | loss: 2.4116 | dt: 127ms | remaining: 274s   
step 00208 (8.7%) | loss: 2.4065 | dt: 124ms | remaining: 274s   
step 00209 (8.8%) | loss: 2.3834 | dt: 125ms | remaining: 274s   
step 00210 (8.8%) | loss: 2.3302 | dt: 124ms | remaining: 274s   
step 00211 (8.9%) | loss: 2.2698 | dt: 124ms | remaining: 273s   
step 00212 (8.9%) | loss: 2.3166 | dt: 123ms | remaining: 273s   
step 00213 (8.9%) | loss: 2.2422 | dt: 124ms | remaining: 273s   
step 00214 (9.0%) | loss: 2.2335 | dt: 123ms | remaining: 273s   
step 00215 (9.0%) | loss: 2.1861 | dt: 128ms | remaining: 273s   
step 00216 (9.1%) | loss: 2.3201 | dt: 129ms | remaining: 273s   
step 00217 (9.1%) | loss: 2.2719 | dt: 126ms | remaining: 273s   
step 00218 (9.1%) | loss: 2.2929 | dt: 125ms | remaining: 273s   
step 00219 (9.2%) | loss: 2.2854 | dt: 129ms | remaining: 272s   
step 00220 (9.2%) | loss: 2.3230 | dt: 128ms | remaining: 272s   
step 00221 (9.3%) | loss: 2.4372 | dt: 125ms | remaining: 272s   
step 00222 (9.3%) | loss: 2.4473 | dt: 125ms | remaining: 272s   
step 00223 (9.4%) | loss: 2.4780 | dt: 122ms | remaining: 272s   
step 00224 (9.4%) | loss: 2.5414 | dt: 124ms | remaining: 272s   
